--- Most to Least Appearances ---
Toxitricty - 17 games total
Slurpuff - 16 games total
Crabrawler - 16 games total
Crabominable - 16 games total
Mudbray - 16 games total
Araquanid - 16 games total
Lurantis - 16 games total
Wimpod - 16 games total
Palossand - 16 games total
Grookey - 16 games total
Sobble - 16 games total
Greedent - 16 games total
Cramorant - 16 games total
Skiddo - 15 games total
Pikipek - 15 games total
Dewpider - 15 games total
Fomantis - 15 games total
Inteleon - 15 games total
Skwovet - 15 games total
Rookidee - 15 games total
Toxel - 15 games total
Polteageist - 15 games total
Falinks - 15 games total
Snom - 15 games total
Spritzee - 14 games total
Aromatisse - 14 games total
Volcanion - 14 games total
Gumshoos - 14 games total
Oricorio - 14 games total
Oranguru - 14 games total
Passimian - 14 games total
Komala - 14 games total
Dhelmise - 14 games total
Magearna - 14 games total
Zeraora - 14 games total
Raboot - 14 games total
Corvisquire - 14 games total
Frosmoth - 14 games total
Drakloak - 14 games total
Dragapult - 14 games total
Sprigatito - 14 games total
Armarouge - 14 games total
Ceruledge - 14 games total
Spewpa - 13 games total
Furfrou - 13 games total
Trumbeak - 13 games total
Morelull - 13 games total
Tapu Koko - 13 games total
Cosmog - 13 games total
Nihilego - 13 games total
Guzzlord - 13 games total
Applin - 13 games total
Sinistea - 13 games total
Dreepy - 13 games total
Pawmot - 13 games total
Tinkaton - 13 games total
Yungoos - 12 games total
Shiinotic - 12 games total
Pyukumuku - 12 games total
Silvally - 12 games total
Bruxish - 12 games total
Tapu Lele - 12 games total
Tapu Bulu - 12 games total
Tapu Fini - 12 games total
Cosmoem - 12 games total
Buzzwole - 12 games total
Xurkitree - 12 games total
Sizzlipede - 12 games total
Hatterene - 12 games total
Perrserker - 12 games total
Indeedee - 12 games total
Morpeko - 12 games total
Meowscarada - 12 games total
Fuecoco - 12 games total
Quaxly - 12 games total
Clodsire - 12 games total
Type: Null - 11 games total
Minior - 11 games total
Turtonator - 11 games total
Pheromosa - 11 games total
Melmetal - 11 games total
Drednaw - 11 games total
Appletun - 11 games total
Silicobra - 11 games total
Sandaconda - 11 games total
Hatenna - 11 games total
Impidimp - 11 games total
Grimmsnarl - 11 games total
Milcery - 11 games total
Alcremie - 11 games total
Pincurchin - 11 games total
Copperajah - 11 games total
Pawmi - 11 games total
Fidough - 11 games total
Tatsugiri - 11 games total
Gholdengo - 11 games total
Celesteela - 10 games total
Naganadel - 10 games total
Thwackey - 10 games total
Rillaboom - 10 games total
Cinderace - 10 games total
Drizzile - 10 games total
Yamper - 10 games total
Carkol - 10 games total
Coalossal - 10 games total
Flapple - 10 games total
Hattrem - 10 games total
Eiscue - 10 games total
Cufant - 10 games total
Floragato - 10 games total
Quaquaval - 10 games total
Pawmo - 10 games total
Dachsbun - 10 games total
Charcadet - 10 games total
Bellibolt - 10 games total
Wattrel - 10 games total
Glimmora - 10 games total
Greavard - 10 games total
Gimmighoul - 10 games total
Koraidon - 10 games total
Kartana - 9 games total
Blacephalon - 9 games total
Eldegoss - 9 games total
Chewtle - 9 games total
Rolycoly - 9 games total
Arrokuda - 9 games total
Barraskewda - 9 games total
Morgrem - 9 games total
Sirfetch'd - 9 games total
Duraludon - 9 games total
Urshifu - 9 games total
Spectrier - 9 games total
Kleavor - 9 games total
Skeledirge - 9 games total
Lechonk - 9 games total
Kilowattrel - 9 games total
Tinkatink - 9 games total
Tinkatuff - 9 games total
Glimmet - 9 games total
Flamigo - 9 games total
Scream Tail - 9 games total
Poipole - 8 games total
Stakataka - 8 games total
Thievul - 8 games total
Grapploct - 8 games total
Runerigus - 8 games total
Kubfu - 8 games total
Glasterier - 8 games total
Crocalor - 8 games total
Quaxwell - 8 games total
Oinkologne - 8 games total
Maushold - 8 games total
Nacli - 8 games total
Cetoddle - 8 games total
Cetitan - 8 games total
Dondozo - 8 games total
Annihilape - 8 games total
Farigiraf - 8 games total
Kingambit - 8 games total
Frigibax - 8 games total
Baxacalibur - 8 games total
Nickit - 7 games total
Wooloo - 7 games total
Centiskorch - 7 games total
Clobbopus - 7 games total
Mr. Rime - 7 games total
Stonjourner - 7 games total
Overqwil - 7 games total
Smoliv - 7 games total
Dolliv - 7 games total
Naclstack - 7 games total
Garganacl - 7 games total
Mabosstiff - 7 games total
Shroodle - 7 games total
Grafiai - 7 games total
Revavroom - 7 games total
Cyclizar - 7 games total
Houndstone - 7 games total
Dudunsparce - 7 games total
Great Tusk - 7 games total
Flutter Mane - 7 games total
Iron Treads - 7 games total
Arctibax - 7 games total
Miraidon - 7 games total
Meltan - 6 games total
Gossifleur - 6 games total
Obstagoon - 6 games total
Zacian - 6 games total
Zamazenta - 6 games total
Eternatus - 6 games total
Zarude - 6 games total
Regieleki - 6 games total
Regidrago - 6 games total
Wyrdeer - 6 games total
Basculegion - 6 games total
Tarountula - 6 games total
Spidops - 6 games total
Nymble - 6 games total
Lokix - 6 games total
Tandemaus - 6 games total
Arboliva - 6 games total
Squawkability - 6 games total
Tadbulb - 6 games total
Maschiff - 6 games total
Toedcruel - 6 games total
Rellor - 6 games total
Flittle - 6 games total
Espathra - 6 games total
Wiglett - 6 games total
Wugtrio - 6 games total
Bombirdier - 6 games total
Varoom - 6 games total
Brute Bonnet - 6 games total
Slither Wing - 6 games total
Sandy Shocks - 6 games total
Iron Bundle - 6 games total
Iron Hands - 6 games total
Iron Moth - 6 games total
Roaring Moon - 6 games total
Iron Leaves - 6 games total
Blipbug - 5 games total
Dottler - 5 games total
Orbeetle - 5 games total
Dubwool - 5 games total
Boltound - 5 games total
Dracozolt - 5 games total
Ursaluna - 5 games total
Toedscool - 5 games total
Klawf - 5 games total
Capsakid - 5 games total
Scovillain - 5 games total
Rabsca - 5 games total
Orthworm - 5 games total
Iron Jugulis - 5 games total
Iron Thorns - 5 games total
Wo-Chien - 5 games total
Ting-Lu - 5 games total
Chi-Yu - 5 games total
Iron Valiant - 5 games total
Walking Wake - 5 games total
Poltchageist - 5 games total
Sinistcha - 5 games total
Hydrapple - 5 games total
Arctozolt - 4 games total
Dracovish - 4 games total
Arcotovish - 4 games total
Calyrex - 4 games total
Bramblin - 4 games total
Brambleghast - 4 games total
Finizen - 4 games total
Palafin - 4 games total
Veluza - 4 games total
Chien-Pao - 4 games total
Terapagos - 4 games total
Pecharunt - 4 games total
Cursola - 3 games total
Sneasler - 3 games total
Dipplin - 3 games total
Okidogi - 3 games total
Munkidori - 3 games total
Fezandipiti - 3 games total
Ogerpon - 3 games total
Raging Bolt - 3 games total
Enamorus - 2 games total
Archaludon - 2 games total
Gouging Fire - 2 games total
Iron Boulder - 2 games total
Iron Crown - 2 games total

Total Time to Calculate: 0.0083 seconds
Total entries aggregated: 1024
